"Polarity","Adduct.type","Average.Rt.min.","Average.Mz","Metabolite.curated","Ontology","Alignment.ID"
"Neg","[M-H]-",11.546,782.49713,"PS 16:0_20:4","PS",37533
"Neg","[M-H]-",11.605,808.51294,"PS 16:0_22:5","PS",39131
"Neg","[M-H]-",11.629,834.52826,"PS 18:1_22:5","PS",40629
"Neg","[M-H]-",11.662,758.49725,"PS 16:1_18:1","PS",36015
"Neg","[M-H]-",11.841,808.513,"PS 18:0_20:5","PS",39132
"Neg","[M-H]-",11.862,784.51318,"PS 18:1_18:2","PS",37647
"Neg","[M-H]-",11.99,784.51337,"PS 18:1_18:2","PS",37648
"Neg","[M-H]-",12.273,834.52832,"PS 18:0_22:6","PS",40630
"Neg","[M-H]-",12.557,832.51056,"PS 18:1_22:6","PS",40512
"Neg","[M-H]-",12.6,808.52002,"PS 16:0_22:5","PS",39133
"Neg","[M-H]-",12.632,836.54419,"PS 18:0_22:5","PS",40763
"Neg","[M-H]-",12.641,782.49438,"PS 16:0_20:4","PS",37532
"Neg","[M-H]-",12.65,810.5285,"PS 18:0_20:4","PS",39261
"Neg","[M-H]-",12.657,760.51288,"PS 16:0_18:1","PS",36139
"Neg","[M-H]-",12.773,786.52844,"PS 18:1_18:1","PS",37764
"Neg","[M-H]-",12.806,808.51056,"PS 18:0_20:5","PS",39129
