"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","ML210_0min_1","ML210_0min_2","ML210_0min_3","ML210_20min_1","ML210_20min_2","ML210_20min_3","ML210_45min_1","ML210_45min_2","ML210_45min_3","ML210_80min_1","ML210_80min_2","ML210_80min_3","ML210_120min_1","ML210_120min_2","ML210_120min_3","ML210_270min_1","ML210_270min_2","ML210_270min_3"
"Neg",4116,"[M-H]-",8.023,"FA 16:0 (b)","FA",79304,75987,28952,58975,71234,60191,87492,64382,31707,95339,52497,63500,76285,28693,69266,77530,67297,73947
"Neg",4029,"[M-H]-",7.733,"FA 16:1","FA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",5616,"[M-H]-",9.226,"FA 18:0","FA",15382,29610,57911,38538,28646,32148,19740,44546,8652,50391,42660,20989,37006,25635,29657,45688,62099,17676
"Neg",5531,"[M-H]-",8.273,"FA 18:1 (a)","FA",35682,31932,38381,22889,9287,23927,25702,31270,27423,21974,21589,6170,10541,11624,10357,14781,24442,33090
"Neg",5534,"[M-H]-",8.96,"FA 18:1 (b)","FA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pos",15343,"[M+H]+",1.128,"LPC 14:0 (a)","LPC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pos",15345,"[M+H]+",1.501,"LPC 14:0 (b)","LPC",717833,739896,694646,995738,849938,875092,901968,960941,1010848,1012065,894043,928939,746294,1165799,791557,639055,652206,582395
"Pos",15344,"[M+H]+",1.648,"LPC 14:0 (c)","LPC",2112626,2134765,1758074,3138233,2728885,2306746,2346191,2500087,2770172,2570945,2480180,2418614,2424321,4776237,2442670,2794825,1997246,1736247
"Pos",17396,"[M+H]+",2.505,"LPC 16:0 (a)","LPC",8259062,8510611,7373400,13199490,12550562,11115176,11582456,12819289,13187017,13064551,13507793,11661068,10648519,16484541,11722790,9544323,9176963,8732055
"Pos",17395,"[M+H]+",2.806,"LPC 16:0 (b)","LPC",30190085,31159946,26779295,56107602,53302795,45434664,45799065,52089322,52294952,46014881,50071299,47630114,39594531,69948097,43204579,37134692,34733719,31871483
"Pos",17242,"[M+H]+",1.691,"LPC 16:1 (a)","LPC",2946025,3264504,2902967,3895225,3412328,3458854,3278992,3551980,3698865,3431043,3783651,3220830,2651971,3847415,3044121,2373863,2338471,2233037
"Pos",17241,"[M+H]+",1.858,"LPC 16:1 (b)","LPC",6176673,6760850,5329464,9975486,8118444,6939867,6466642,7004253,7958912,6765996,7018356,7168049,7017055,14914696,7156449,8152002,5592479,4859268
"Pos",18390,"[M+H]+",3.437,"LPC 17:0 (a)","LPC",213324,269410,194410,332741,712563,339524,436458,491859,686759,661793,530706,384804,307164,850755,343592,466756,371121,237720
"Pos",18389,"[M+H]+",3.778,"LPC 17:0 (b)","LPC",453303,433205,412278,1450065,1490009,1336657,1375326,1589801,1548027,1411978,1602768,1436293,1091709,1644129,1250922,782370,1028560,1074884
"Pos",18232,"[M+H]+",2.417,"LPC 17:1","LPC",790435,832038,646999,1352956,1122980,850835,771316,1042964,892134,838876,1052563,795301,867825,2119921,551156,1073506,840320,532409
"Pos",19395,"[M+H]+",4.552,"LPC 18:0","LPC",1163449,1177890,801172,5224414,4903965,4437241,4597889,4959387,4868220,4768187,5185757,4688539,3894384,5376891,4395041,3352698,3651769,4019629
"Pos",19245,"[M+H]+",2.853,"LPC 18:1 (a)","LPC",14607028,16102989,14268476,19449022,17596511,17703690,15731331,18182091,18276356,15918420,18220854,16326079,13831496,20649237,15086218,12331300,11811568,11459834
"Pos",19242,"[M+H]+",3.179,"LPC 18:1 (b)","LPC",31022858,33585331,27353889,50280980,44504196,36223834,33514018,38848561,40570183,33010127,36850515,37075888,33824322,70128230,34939841,38987226,28966625,25397502
"Pos",19056,"[M+H]+",2.169,"LPC 18:2","LPC",1675238,1756479,1053907,2680921,2260290,1531562,1355424,1657580,1742644,1829321,1940707,1963133,1693356,4288751,2149716,2461288,1335743,1139534
